29709,印發關於加強自主創新促進高新技術產業發展若干政策措施的通知,市高新技术产业园区领导小组办公室,2008.10.29,2008.10.30,"你好！近期深圳市政府《公布印發關於加強自主創新促進高新技術產業發展若干政策措施的通知》，其中“2008年1月1日前註冊成立的高新技術企業享受“二免六減半”政策的，2008年、2009年按其繳納企業所得稅形成深圳地方財力部分50%予以研發資助。 ”，请问我公司为外资企业在2006年11月获得深圳高新技术企业资格是否能享受此优惠政策？如果能够，能否告知目前税率18%，能够返还的所得税比列？另外我公司应该如何申请此补贴？非常感谢！
		","张小姐： 你好！申请入园可按下列情况办理。 1.办理地点为市民中心东厅56号窗口，电话82107569。 2.具体要提交材料请上高新办网站（www.ship.gov.cn）首页的行政许可专区中查询。 3.根据高新区产业发展规划，下列企业可办入园证： ①深圳市科技局认定的高新技术企业或从事高新技术项目的企业； ②国际、国内知名的科技型大公司； ③为高新技术企业服务的必要的配套设施。
		
		"
32991,老婆办理户口入深圳，需要我档案所在地出示计划生育证明吗？,市高新技术产业园区领导小组办公室,2007.09.10,2007.09.11,"你好，最近我老婆正在办理户口入深圳，但现在碰到了一个问题：深圳的人才市场需要我户口和档案所在地的计划生育证明（我的户口和档案不在同一地方，我们都是本科毕业）。户口所在地的计划生育调查表已经出示了，但是档案所在的人才市场却认为他们没有出具计划生育证明的资格。现在两个地方的人才市场各执己见，其结果就难倒我们要办理证件的人了。究竟那方的说法才是正确的？请告知。十分感谢！
		","办理入户属公安局的职能，关于出具计划生育证明的资格问题请到市公安局咨询（http://www.szga.gov.cn/）。
		
		"
33104,关于政府对高新企业在国外参展的补助优惠政策的咨询,市高新技术产业园区领导小组办公室,2007.08.14,2007.08.16,"您好!我公司是深圳市科学技术局认定的高新技术企业。9月份和12月份，我们将分别在泰国曼谷和俄罗斯的莫斯科参加国际性大型医疗器械展览。很想了解关于国家在2001年出台的关于从不同程度给于企业补助会展资金的政策情况。 望尽早收到您的回复!谢谢！
		","你好！组织企业参展由市贸工局负责，具体的参展优惠政策请到市贸工局（http://www.szbti.gov.cn/）有关部门了解。
		
		"
33180,业务单位真实性查询,市高新技术产业园区领导小组办公室,2007.07.25,2007.07.26,"请问咱们深圳高新科技园区内有“深圳三鑫诺信电子科技有限公司”吗？
		","有。公司网址是：www.3xnx.com.
		
		"
33558,租用办公场所,市高新技术产业园区领导小组办公室,2007.03.03,2007.03.06,"我公司是从事通信软件开发的高新技术企业，公司目前在福田区，现在想申请到科技园或者软件园里面办公，不知道具体联系那个部门。请告知一下，谢谢！！！！！！！
		","请打我办咨询电话82107569，26551647。或打软件园管理中心电话86169969。
		
		"
33748,sg,市高新技术产业园区领导小组办公室,2006.12.21,2006.12.22,"我公司已经市科技局审核批准为高新技术企业；因生产规模扩大，原来租用的厂房（不在高新区）不够用，又无法扩大；现想在高新区购买（或租用）3000平米厂房，作为华南地区的生产基地和研发基地；请问购买高新区厂房要什么条件？价格如何？租用高新区厂房要什么条件？价格如何？
		","请打我办咨询电话：82107569
		
		"
33896,公司入驻科技园需要什么条件？,市高新技术产业园区领导小组办公室,2006.11.24,2006.12.05,"你好， 我想咨询一睛，公司进入科技园需要对公司有什么样的要求，以及办理什么样的手续？
","请打我办在市民中心行政服务大厅办事窗口的电话咨询。电话：82107569（工作时间） 或者上深圳高新区网站（www.ship.gov.cn）行政许可专区，有申请表格下载。或者上深圳政府在线，在企业办事栏目下点击高新技术，会看到和高新区有关的行政许可的办事规程、表格下载等
		
		"
