编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
25369,办理二胎准生证,深圳市卫生和计划生育委员会,2013.09.23,2013.09.30,"想咨询一下，我和先生都是独生子女，如果办理二胎准生证，第一胎还没有上户口，可以办理吗？第一胎是2012年1月在国外生的，今年三月我带宝宝第一次回国要上户口的，但是深圳公安局以我们没有中国使馆认证和父亲护照原件，不予办理。我先生从2010年至今都没回国过，现在我们一家三口也都在国外，短期内不回去，计划在国外生二胎，应该怎么办理相应证件？谢谢
		","你好！你咨询的问题我委工作人员已电话答复你，如有需要，可致电12345咨询。谢谢你的来信，祝你身体健康，节日愉快！
",1.8275418788293862e-06
25297,没有上环能开深圳计划生育证明吗,深圳市卫生和计划生育委员会,2013.10.12,2013.10.22,"您好！我想咨询下没有上环能开计划生育证明吗（有到医院检查，有妇科疾病，而且月经周期很短，月经量大，贫血，身体很差。）目前不适应上环。但是家有一子（办独生子女证）在深圳上幼儿园，想申请幼儿园补贴，请问我目前没有上环证的情况下，能开到“深圳市计生证明”吗？请回复，谢谢
		","你好！你咨询的问题我委工作人员已通过电话与你作了沟通解答，如仍有疑问，可致电12345咨询。谢谢你的来信，祝你生活愉快！
",2.1226679927099923e-06
19473,咨询新设立医学检验所许可的具体流程,深圳市卫生和计划生育委员会,2015.06.19,2015.06.23,"您好，我司在南山区，拟申请新设立一家医学检验所，咨询具体的申请流程 是直接向市卫生局医政科提交设置许可申请还是先向南山区卫生局提交申请？ 由深圳市卫生局审批通过就可以还是需要继续广东省卫生局申请，谢谢望告知
		","你好，你所咨询的设立医学检验所许可的具体流审批权为省卫生计生委，还有疑问请致电政府热线12345，谢谢你的来信，祝你身体健康！
",2.979952149151366e-06
3127,如何登录“独生子女奖励金申请管理系统”,深圳市卫生和计划生育委员会,2017.03.01,2017.03.03,"本人今天上午在社区工作站成功申请独生子女父母奖励金后，两次收到贵委发给我的短信，说我已经成功注册“独生子女奖励金申请管理系统”，并告诉了我登录名和初始密码，但我在贵委网站上找不到登录这个系统的链接，请指示。
		","打开网址：http://jljxt.szhfpc.gov.cn:8897/common_login.html，根据短信提示的用户名和密码登录系统，便可查看奖励金申请的情况。 
		
		",3.5720014096574104e-06
4520,陪产假的时效性，是否必须在女方产假期间休完。,深圳市卫生和计划生育委员会,2017.01.17,2017.01.18,"公司员工在妻子生产期间没有主动休陪产假，现小孩已1岁多。员工现要求休陪产假，公司主张根据产假规定陪产假必须在女方产假期间休完，现已过期不能再休陪产假，请问是否合理，请问陪产假是否有时效性，是否有相关法律规定。
		","
?根据《广东省人口与计划生育条例》（修正案）规定，符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。陪产假一般是指符合法律、法规规定生育子女的夫妻，女方在享受产假期间，男方享受的有一定时间看护、照料对方的权利。
",5.034916952362245e-06
25290,在深圳的归国华侨是否可以生2胎？是否可以给2胎小孩上户口？,深圳市卫生和计划生育委员会,2013.10.20,2013.10.24,"市计生委，市华侨办同志你们好。我是在国外工作定居了10年，现在回国定居。请问现在打算生2胎（第一个小孩是深圳户口），请问 对归国华侨在生2胎的政策上是否和上海一样,允许归国华侨生2胎？ 麻烦答复一下，谢谢！
		","你好！你咨询的问题我委工作人员已通过电话与你作了沟通解释，如仍有疑问，可致电12345咨询。谢谢你的来信，祝你身体健康，生活愉快！
",5.127130750404163e-06
3965,深圳2017年产假工资怎么规定？,深圳市卫生和计划生育委员会,2017.02.13,2017.02.14,"请问深圳市2017年产假工资怎么规定？产假工资发放标准，是按本人的工资，还是公司所有员工月均工资，还是按深圳市上年度的工资标准？产假工资发放天数怎么算，广东省奖励的80天包含吗？
		","?根据最新《广东省人口与计划生育条例》规定，符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。符合现《深圳经济特区人口计划生育条例》晚育条件生育的，还有15日晚育假。在规定假期内照发工资，不影响福利待遇和全勤评奖。
		
		",6.4262468226772285e-06
23156, 市卫生人口计生委   计生系统中查不到父亲/母亲信息,深圳市卫生和计划生育委员会,2014.10.28,2014.11.03,"我小孩在申请在园儿童健康成长补贴检验说： 市卫生人口计生委 （不合格 2014-10-27 18:06:09 计生系统中查不到父亲/母亲信息）但是我早已在前一个月 到福田梅林街道下梅社区工作站登记人口计划生育信息，办理了深圳市计划生育证明（深计生证1409231924号）。今天又再咨询了下梅社区和梅林街道，确认他们在系统中能看到这个计生信息了， 计生委为什么查不到，他们没法处理， 我现在也找不到相关电话来咨询，相关人员来办理， 你说怎么办？ 政府，给条路走走好不好！
		","你好，你的反映的问题是教育部门网上系统问题，请向教育部门反映亦可向学校咨询，并在你户籍街道的居委会办理，谢谢你的来信。
		
		",7.459687901500978e-06
19293,咨询关于深圳广济门诊部,深圳市卫生和计划生育委员会,2015.06.29,2015.06.30,"请问 深圳广济门诊部 的腋臭诊疗中心 是不是 深圳市卫生局直属的腋臭专科医院？有无备案登记？该医院采用的 中韩超微创“”第三代纳米无痕腋臭消融术无是不是真有的 有登记在册的呢？有无出现过严重的医疗事故？ 非常感谢。
		","你好，深圳广济门诊部为福田区卫生计生局批准成立的社会办盈利性医疗机构，非你所诉的直属医院，另该门诊的执业范围内科 /外科 /妇产科;妇科专业 /眼科 /耳鼻咽喉科 /口腔科 /皮肤科 /医疗美容科;美容外科;美容牙科 /急诊医学科 /中医科，谢谢你的来信。
",8.825207051921247e-06
1166,申办针灸推拿诊所,深圳市卫生和计划生育委员会,2017.04.10,2017.04.11,"我是2004年取得针灸推拿执业医师证书，1996年参加工作（从事针灸推拿工作至今），我想申办一家针灸推拿医馆，请问需要哪些手续？谢谢！
		","你好，我委官网有相关医疗机构设立的办理流程《深圳市医疗机构执业许可办事指南（试行）》已于3月31日印发执行， 并可在我委官网查看。，若仍有疑问可向你拟设立的辖区卫生计生局咨询，谢谢你的来信。
		
		",1.1157400293781983e-05
