　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　小鞋子　　　　　　　　　	   9.2    	  123927  	奔跑的孩子是天使。　
　　　　　　　　饮食男女　　　　　　　　	   9.0    	  169872  	人生不能像做菜，把所有的料都准备好了才下锅。
　　　　　　　　控方证人　　　　　　　　	   9.6    	  67954   	比利·怀德满分作品。
　　　　　　　　低俗小说　　　　　　　　	   8.7    	  305647  	故事的高级讲法。　　
　　　　　　　　入殓师　　　　　　　　　	   8.8    	  299813  	死可能是一道门，逝去并不是终结，而是超越，走向下一程。
　　　　　　　沉默的羔羊　　　　　　　　	   8.7    	  324145  	安东尼·霍普金斯的顶级表演。
　　　　　　本杰明·巴顿奇事　　　　　　	   8.7    	  366966  	在时间之河里感受溺水之苦。
　　　　　　　　蝴蝶效应　　　　　　　　	   8.7    	  354744  	人的命运被自己瞬间的抉择改变。
　　　　　　　　黑客帝国　　　　　　　　	   8.8    	  257370  	视觉革命。　　　　　
　　　　　　　拯救大兵瑞恩　　　　　　　	   8.8    	  215993  	美利坚精神输出大片No1.
　　　　　　　玛丽和马克思　　　　　　　	   8.9    	  220888  	你是我最好的朋友，你是我唯一的朋友 。
　　　　　　西西里的美丽传说　　　　　　	   8.7    	  313621  	美丽无罪。　　　　　
　　　　　　　　　素媛　　　　　　　　　	   9.1    	  153002  	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
　　　　　　　　心灵捕手　　　　　　　　	   8.7    	  245734  	人生中应该拥有这样的一段豁然开朗。
　　　　　　　　幽灵公主　　　　　　　　	   8.8    	  216287  	人与自然的战争史诗。
　　　　　　　　第六感　　　　　　　　　	   8.8    	  214063  	深入内心的恐怖，出人意料的结局。
　　　　　　阳光灿烂的日子　　　　　　　	   8.7    	  248562  	一场华丽的意淫。　　
　　　　　　　　让子弹飞　　　　　　　　	   8.7    	  582292  	你给我翻译翻译，神马叫做TMD的惊喜。
　　　　　　　　　大鱼　　　　　　　　　	   8.7    	  231081  	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
　　　　　　　　春光乍泄　　　　　　　　	   8.7    	  218537  	爱情纠缠，男女一致。
　　　　　射雕英雄传之东成西就　　　　　	   8.7    	  252791  	百看不厌。 　　　　
　　　　　　　　大闹天宫　　　　　　　　	   9.2    	  87638   	经典之作，历久弥新。
　　　　　　　阳光姐妹淘　　　　　　　　	   8.8    	  246505  	再多各自牛逼的时光，也比不上一起傻逼的岁月。 
　　　　　　　　重庆森林　　　　　　　　	   8.6    	  295154  	寂寞没有期限。　　　
　　　　　　　　上帝之城　　　　　　　　	   8.9    	  147030  	被上帝抛弃了的上帝之城。
　　　　　　　　禁闭岛　　　　　　　　　	   8.6    	  326281  	昔日翩翩少年，今日大腹便便。
　　　　　　　　甜蜜蜜　　　　　　　　　	   8.7    	  213041  	相逢只要一瞬间，等待却像是一辈子。
　　　　　　　　致命ID　　　　　　　　	   8.6    	  287158  	最不可能的那个人永远是最可能的。
　　　　　　　　　告白　　　　　　　　　	   8.6    	  311330  	没有一人完全善，也没有一人完全恶。
